rowid,hostname,pl_letter,cb_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,ra,dec,sy_dist,pl_eqt,st_lum,pl_dens,st_dens,st_age,st_teff,pl_esi
5126,TOI-1728,b,0,1,1,3.49151,0.0391,5.05,26.78,120.6116787,64.7971531,60.798,767.0,-1.056,1.14,3.78,7.1,3980.0,2.940207303083658
625,HD 136352,c,0,1,3,27.59221,0.1721,2.916,11.24,230.4401147,-48.3188174,14.682,677.0,0.016,2.49767,1.0348,12.3,5664.0,2.941128171962511
5022,TOI-1174,b,0,1,1,8.953458,0.08,2.506,32.0,209.2171751,68.6182106,94.6375,714.0,-0.403,11.0,2.4367,2.7,5158.0,3.1029734499367336
5186,TOI-2076,c,0,1,3,21.015327,0.142,3.694,55.0,217.3920159,39.7903991,41.9091,543.0,-0.378,6.0,2.3628,2.7,5192.0,3.158865326998081
5038,TOI-1246,c,0,1,4,5.904137,0.061,2.451,9.1,251.1158702,70.4299917,169.422,862.0,-0.301,3.39,1.9182,6.3,5213.0,3.247372405216512
5042,TOI-1249,b,0,1,1,13.079151,0.109,3.271,11.9,200.5615762,66.3085331,139.49,727.0,-0.101,1.84,1.4998,4.0,5497.0,3.311954804378354
5200,TOI-2134,c,0,1,2,95.5,0.371,7.27,41.89,271.9355015,39.0729269,22.6202,306.0,-0.717,0.599,2.9465,3.8,4580.0,3.3348426160396727
5130,TOI-1742,b,0,1,1,21.269084,0.154,2.365,9.7,257.3288678,71.8766724,72.8871,694.0,0.121,4.0,1.0498,3.9,5815.0,3.3349329402985064
621,HD 135694,b,0,1,1,15.92346,0.12,2.532,6.1,227.8678636,71.8412965,73.8713,751.0,0.039,2.05,1.0333,9.8,5698.0,3.3503099470204574
624,HD 136352,b,0,1,3,11.57797,0.0964,1.664,4.72,230.4401147,-48.3188174,14.682,905.0,0.016,5.62389,1.0348,12.3,5664.0,3.464296700531046
819,HD 191939,b,0,1,6,8.8803256,0.0804,3.41,10.0,302.0256247,66.8503014,53.6089,880.0,-0.187,1.4,1.37,8.7,5348.0,3.4714624328973844
5092,TOI-1451,b,0,1,1,16.537944,0.127,2.611,15.2,186.5242821,61.2589289,91.9362,723.0,0.024,4.67,1.3363,4.0,5801.0,3.489465385398155
5099,TOI-1472,b,0,1,1,6.36381,0.065,4.16,16.5,14.1142611,48.6375168,121.84,811.0,-0.356,1.24,2.1838,2.3,5133.0,3.528716115451793
5198,TOI-2128,b,0,1,1,16.34136,0.127,2.089,4.5,256.9817998,32.1053027,36.578,781.0,0.156,2.68,1.0231,4.7,5968.0,3.646199941122408
