rowid,hostname,pl_letter,cb_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,ra,dec,sy_dist,pl_eqt,st_lum,pl_dens,st_dens,st_age,st_teff
50,AB Pic,b,0,1,1,,260.0,,4290.5,94.8039208,-58.0541184,50.0475,,,,,0.03,
51,AF Lep,b,0,1,1,8030.0,8.4,,1017.0509,81.7699216,-11.9011752,26.8564,,,,,0.024,6130.0
52,AU Mic,b,0,1,3,8.4629991,0.0645,,20.12,311.2911369,-31.34245,9.7221,,,1.32,,,
53,AU Mic,c,0,1,3,18.858991,0.1101,,9.6,311.2911369,-31.34245,9.7221,,,1.22,,,
54,AU Mic,d,0,1,3,12.73596,,,1.053,311.2911369,-31.34245,9.7221,,-1.038,,1.75,0.02,3678.0
55,BD+03 2562,b,0,1,1,481.9,1.3,,2034.112,177.5647268,2.7601075,1070.63,,2.7,,,5.2,4095.0
56,BD+14 4559,b,0,1,1,268.94,0.78,,330.5432,318.4010002,14.6893834,49.352,,,,,,4864.0
57,BD+15 2375,b,0,1,1,153.22,0.576,,337.21763,176.4820239,14.6163182,768.045,,1.57,,,7.41,4649.0
58,BD+15 2940,b,0,1,1,137.48,0.539,,352.78,240.09564,15.5467507,426.42,,2.01,,,7.1,4796.0
59,BD+20 2457,b,0,1,2,379.63,1.45,,6807.63,154.186782,19.8912626,1539.71,,3.17,,,,4137.0
60,BD+20 2457,c,0,1,2,621.99,2.01,,3963.17,154.186782,19.8912626,1539.71,,3.17,,,,4137.0
61,BD+20 274,b,0,1,1,578.2,1.3,,1334.886,25.9203179,21.0052692,1322.51,,1.96,,,,4296.0
62,BD+20 594,b,0,1,1,41.6855,,2.578,22.2481,53.6511231,20.5990205,179.461,,,,1.89,,5766.0
63,BD+45 564,b,0,1,1,307.88,0.83,,432.24663,32.9470485,45.9242187,53.622,,,,,,5004.0
64,BD+48 738,b,0,1,1,392.6,1.0,,289.2253,40.7102869,49.5869395,871.493,,1.69,,,,4414.0
65,BD+48 740,b,0,1,1,733.0,1.7,,540.311,40.7425426,48.9300579,666.589,,1.64,,,,4534.0
66,BD+49 828,b,0,1,1,2590.0,4.2,,508.5,45.6406187,49.7299481,442.042,,1.47,,,2.34,4943.0
67,BD+55 362,b,0,1,1,265.59,0.78,,228.83645,23.9636676,56.6982282,52.5697,,,,,,5012.0
68,BD+60 1417,b,0,1,1,,1662.0,14.684,4767.4261,190.8875453,60.0143636,44.9543,1303.0,0.356,,,0.1,4993.0
69,BD+63 1405,b,0,1,1,1198.48,2.06,,1258.60049,271.3979337,63.6700064,38.0473,,,,,,5000.0
70,BD-06 1339,c,0,1,2,125.94,0.435,,53.0,88.2511811,-5.9963378,20.2695,,-1.022,,,4.4,4324.0
71,BD-08 2823,b,0,1,2,5.6,0.06,,12.7132,150.1971964,-9.5165689,41.3342,,,,,,4816.0
72,BD-08 2823,c,0,1,2,237.6,0.68,,104.0,150.1971964,-9.5165689,41.3342,,,,,4.5,4746.0
73,BD-10 3166,b,0,1,1,3.48777,0.04,,187.5197,164.6191243,-10.7704227,84.4069,,,,,,5393.0
74,BD-11 4672,b,0,1,2,1634.0,2.36,,206.5895,278.3688659,-11.6370481,27.1665,,-0.804,,3.53,7.4,4550.0
75,BD-11 4672,c,0,1,2,74.2,0.3,,15.37,278.3688659,-11.6370481,27.1665,,-0.804,,3.53,7.4,4550.0
76,BD-13 2130,b,0,1,1,714.29999,1.66,,3108.3774,114.2884692,-13.9066703,925.214,,,,,,4545.0
77,BD-14 3065 A,b,0,3,1,4.2889731,0.0656,21.59,3932.0,153.6696689,-15.6428372,589.423,2001.0,1.06,2.15,0.223,2.24,6935.0
78,BD-17 63,b,0,1,1,655.57,,,1639.99458,7.1413494,-16.2273254,34.4603,,,,,,
79,BD-210397,b,0,1,2,1891.0,2.63,,214.0,33.3024198,-21.1962147,23.7324,,-0.87,,,6.2,4051.0
80,BD-210397,c,0,1,2,6240.0,5.9,,1525.57635,33.3024198,-21.1962147,23.7324,,,,,4.0,
81,Barnard's star,b,0,1,1,3.1533,0.02294,,0.37,269.4486144,4.7379808,1.82655,400.0,-2.45,,,,3195.0
82,CD Cet,b,0,1,1,2.2907,0.0185,,3.95,48.3530155,4.7751881,8.60715,464.0,-2.533,,,3.0,3130.0
83,CFBDSIR J145829+101343,b,0,1,1,10037.5,2.6,,3337.1,224.6208333,10.2286111,,370.0,,,,,580.5
84,CFHTWIR-Oph 98 A,b,0,1,1,8040000.0,200.0,20.849,2479.06157,246.934277,-23.98115,,1800.0,-2.85,,,0.003,2320.0
85,CHXR 73,b,0,1,1,,210.0,,3994.486,166.6193985,-77.6258725,190.374,,,,,0.002,
86,CI Tau,c,0,1,1,25.2,0.17,,1144.18227,68.4667685,22.8416192,157.998,,,,,,
87,COCONUTS-2 A,b,0,1,1,402000000.0,7506.0,12.442,2002.31896,117.300914,-76.702696,10.8864,434.0,-1.732,,,0.475,3406.0
88,CT Cha,b,0,1,1,,440.0,24.66,5403.0,166.0375038,-76.4553693,190.72,2600.0,,,,0.002,
89,CoRoT-1,b,0,1,1,1.5089557,,16.7,327.35,102.0798591,-3.1021394,787.909,1898.0,,0.38,,,5950.0
90,CoRoT-10,b,0,1,1,13.2406,0.1055,10.87,874.0,291.0636813,0.7460143,338.386,600.0,,3.7,3.32,3.0,5075.0
91,CoRoT-11,b,0,1,1,2.99433,0.0436,16.03,740.51,280.6872998,5.9376586,655.037,1657.0,,0.99,0.69,2.0,6440.0
92,CoRoT-12,b,0,1,1,2.828042,0.04016,16.14,291.438,100.7656871,-1.2964437,1126.37,1442.0,,0.411,1.08,6.3,5675.0
93,CoRoT-13,b,0,1,1,4.03519,0.051,9.92,415.704,102.7211432,-5.0864557,1148.93,1700.0,,2.34,1.468,1.635,5945.0
94,CoRoT-14,b,0,1,1,1.51214,0.027,12.22,2415.4,103.4242023,-5.5360385,1744.6,1952.0,,7.3,0.91,4.2,6035.0
95,CoRoT-16,b,0,1,1,5.35227,0.0618,13.11,170.032,278.5246658,-6.0026026,732.409,,,0.44,0.93,6.73,5650.0
96,CoRoT-17,b,0,1,1,3.7681,0.0461,11.43,772.29,278.699236,-6.612288,1176.12,1626.0,,2.82,0.32,10.7,5740.0
97,CoRoT-18,b,0,1,1,1.9000693,0.0295,14.68,1102.82,98.1724172,-0.0316045,764.889,1550.0,,2.2,1.35,,5440.0
98,CoRoT-19,b,0,1,1,3.89713,0.0518,14.46,352.78,97.0335983,-0.1707293,790.663,2000.0,0.544,0.71,0.38,5.0,6090.0
99,CoRoT-2,b,0,2,1,1.7429935,0.02798,16.432,1102.82,291.7770457,1.3836634,213.283,,,1.47,1.814,2.7,5625.0
100,CoRoT-20,b,0,1,2,9.24285,0.09,,1366.669,97.7204249,0.2268931,844.061,,,,,,
101,CoRoT-20,c,0,1,2,1675.0,2.9,,5403.11,97.7204249,0.2268931,844.061,,,,,,
102,CoRoT-21,b,0,1,1,2.72474,0.0417,14.572,718.2958,101.0526207,-0.2991544,,,,1.36,0.255,4.1,6200.0
103,CoRoT-22,b,0,1,1,9.75598,0.092,4.88,12.2,280.6671392,6.2191669,627.158,885.0,,0.249,1.027,3.3,5939.0
104,CoRoT-23,b,0,1,1,3.6313,0.048,11.77,889.9,279.7826586,4.3577516,1060.97,1660.0,,3.0,0.5,7.2,5900.0
105,CoRoT-24,b,0,1,2,5.1134,0.056,3.7,5.7,101.922543,-3.7192892,591.555,1070.0,,0.9,,11.0,4950.0
106,CoRoT-24,c,0,1,2,11.759,0.098,5.0,28.0,101.922543,-3.7192892,591.555,850.0,,1.3,,11.0,4950.0
107,CoRoT-25,b,0,1,1,4.86069,0.0578,12.11,85.81,280.6296561,6.5138223,1103.48,1330.0,,0.15,,4.5,6040.0
108,CoRoT-26,b,0,1,1,4.20474,0.0526,14.12,165.26,279.7504991,6.9697828,1045.18,1600.0,,0.28,,8.6,5590.0
109,CoRoT-27,b,0,1,1,3.57532,0.0476,11.287,3302.11,278.4958319,5.5383811,1010.28,1500.0,,12.6,1.24,4.21,5900.0
110,CoRoT-28,b,0,1,1,5.20851,0.0603,10.705,153.82972,278.6883216,5.5736911,766.183,,,0.69,0.27,12.0,5150.0
111,CoRoT-29,b,0,1,1,2.85057,0.0386,10.088,270.1555,278.9020691,6.4795703,806.507,,,1.45,1.825,4.5,5260.0
112,CoRoT-3,b,0,1,1,4.2568,,11.32,6883.91,292.0552827,0.1218359,768.771,,,26.4,,2.2,6740.0
113,CoRoT-30,b,0,1,1,9.06005,0.0844,11.31,921.707,277.6011767,6.8359338,1032.23,,,3.45,,3.0,5650.0
114,CoRoT-31,b,0,1,1,4.62941,0.0586,16.365,266.9772,94.820735,-4.4222978,2005.76,,,0.33,,4.7,5700.0
115,CoRoT-35,b,0,1,1,3.22748,0.0429,18.831,349.61125,289.3143526,-2.7747085,1123.21,1747.0,,0.29,,6.1,6390.0
116,CoRoT-36,b,0,1,1,5.616531,0.066,15.805,216.12332,277.7510149,7.1833465,925.958,1567.0,,0.25,,2.1,6730.0
117,CoRoT-4,b,0,1,1,9.20205,0.09,13.34,228.83,102.1946233,-0.6727861,726.412,1074.0,,0.525,,1.0,6190.0
118,CoRoT-5,b,0,1,1,4.0378962,0.04947,15.558,148.42,101.2772396,0.8152163,882.472,1438.0,,0.217,,6.9,6100.0
119,CoRoT-6,b,0,1,1,8.886593,0.0855,13.068,940.74,281.0725563,6.6632062,645.294,1017.0,,2.32,,,6090.0
120,CoRoT-7,b,0,1,3,0.85359163,,1.681,4.07661,100.9561682,-1.0630076,159.906,,,,2.0,,5275.0
121,CoRoT-7,c,0,1,3,3.698,0.046,,8.4,100.9561682,-1.0630076,159.906,,-0.289,,1.9632,,5256.0
122,CoRoT-7,d,0,1,3,8.966,,,17.142,100.9561682,-1.0630076,159.906,,,,,1.8,5250.0
123,CoRoT-8,b,0,1,1,6.21229,0.063,6.39,69.92,291.5885696,1.4262972,322.037,,,1.6,2.7,3.0,5080.0
124,CoRoT-9,b,0,2,1,95.272656,0.4021,11.949,266.9772,280.7866461,6.2040783,412.98,420.0,,0.86,1.51,6.0,5625.0
125,CoRoTID 223977153,b,0,1,1,6.71837,0.071,6.389,47.6745,100.1951714,9.2573953,576.683,938.0,-0.155,1.1,,,5970.0
126,DE CVn,b,1,2,1,4098.1,5.75,,3823.2733,201.7207198,45.5455449,30.5225,,,,,,
127,DENIS-P J082303.1-491201,b,0,1,1,246.36,0.36,,9057.77,125.7620668,-49.2003008,,,,,,1.0,
128,DH Tau,b,0,1,1,,330.0,,3496.0,67.4231674,26.5493897,134.846,,,,,0.001,
129,DMPP-1,b,0,1,4,18.57,0.1462,,24.27,86.7761233,-10.6303217,62.5388,877.0,,,,2.01,6196.0
130,DMPP-1,c,0,1,4,6.584,0.0733,,9.6,86.7761233,-10.6303217,62.5388,1239.0,,,,2.01,6196.0
131,DMPP-1,d,0,1,4,2.882,0.0422,,3.35,86.7761233,-10.6303217,62.5388,1632.0,,,,2.01,6196.0
132,DMPP-1,e,0,1,4,5.516,0.0651,,4.13,86.7761233,-10.6303217,62.5388,1314.0,,,,2.01,6196.0
133,DMPP-2,b,0,1,1,5.2072,0.0664,,138.89171,27.407731,-34.4590985,137.94,1000.0,0.104,,,2.0,6500.0
134,DMPP-3 A,b,0,2,1,6.6732,0.0662,,2.58,91.624382,-72.5126648,45.23,854.0,,,,10.9,5138.0
135,DMPP-4,b,0,1,1,3.4982,0.04853,,12.2,293.5826648,51.2358069,25.3284,,0.459,,,2.15,6400.0
136,DP Leo,b,1,2,1,10220.0,8.19,,1922.79,169.3162193,17.9615717,305.684,,,,,,
137,DS Tuc A,b,0,2,1,8.138268,,5.7,,354.9154673,-69.196043,44.0622,850.0,-0.14,,2.4,0.045,5428.0
138,EPIC 201170410,b,0,1,1,6.7987,0.0349,1.047,,170.1408561,-4.8070039,,,,,,,3648.0
139,EPIC 201238110,b,0,1,1,28.1656,,1.87,,179.7058532,-3.3894613,159.259,,,,,,
140,EPIC 201427007,b,0,1,1,0.72091,,1.5,,184.6021322,-0.5512886,706.391,,,,,,5633.0
141,EPIC 201497682,b,0,1,1,2.13174,,0.692,,168.9366786,0.4880606,253.026,,,,,,
142,EPIC 201595106,b,0,1,1,0.877214,,1.3,,183.7203635,1.9681688,232.1,,,,,,5820.0
143,K2-166,c,0,1,2,3.80464,,1.22,,185.1880932,2.2823788,476.882,,,,,,
144,K2-16,d,0,1,3,2.71578,,1.03,,175.0972238,4.5574311,334.967,,,,,,
145,EPIC 201757695,b,0,1,1,2.0478,0.0296,0.908,,173.9385102,4.6164303,,,-0.364,,,,4520.0
146,K2-50,c,0,1,2,3.96151,,1.0,,169.483654,5.988289,257.443,,,,,,
147,EPIC 201841433,b,0,1,1,4.1698,0.035,1.04,,175.206752,6.1348146,436.488,,,,,,5053.0
148,K2-168,c,0,1,2,8.050722,,1.31,,333.1100738,-16.3418863,243.935,961.0,,,,,5502.7
149,EPIC 206024342,b,0,1,3,4.50756,,1.7,,331.2771441,-14.1218019,369.888,,,,,,
150,EPIC 206024342,c,0,1,3,0.911724,,1.4,,331.2771441,-14.1218019,369.888,,,,,,5724.0
151,EPIC 206024342,d,0,1,3,14.647531,,2.6,,331.2771441,-14.1218019,369.888,,,,,,5724.0
152,EPIC 206032309,b,0,1,1,2.87814,,1.01,,341.2404563,-13.9011223,161.365,,,,,,
