rowid,hostname,pl_letter,cb_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,ra,dec,sy_dist,pl_eqt,st_lum,pl_dens,st_dens,st_age,st_teff
1760,K2-44,b,0,1,1,5.657,0.06,2.433,,174.011661,-2.5209338,476.703,,,,,,5912.0
1761,K2-45,b,0,1,1,1.7292684,0.0224,6.71,,169.6327547,-1.7740582,495.317,,,,,,4103.0
1762,K2-46,b,0,1,1,19.1541,0.13821,2.05,,174.2662454,-0.90721,449.237,,,,,,6256.0
1763,K2-47,b,0,1,1,31.6372,0.1779,1.89,,168.5825696,2.7805614,349.881,,,,,,5054.0
1764,K2-48,b,0,1,1,20.5065,0.1344,2.24,,176.1233077,3.2723812,313.764,,,,,,4899.0
1765,K2-49,b,0,1,1,2.77065,0.0309,1.93,,177.3202331,3.4755183,457.125,,,,,,4175.0
1766,K2-5,b,0,1,2,5.73594,0.0532,1.91,,169.3034598,-1.8778254,202.943,565.0,,,,,3930.0
1767,K2-5,c,0,1,2,10.93241,0.0818,2.26,,169.3034598,-1.8778254,202.943,456.0,,,,,3930.0
1768,K2-50,b,0,1,2,8.7529,0.0705,1.59,,169.483654,5.988289,257.443,,,,,,4326.0
1769,K2-52,b,0,1,1,3.535055,0.054,18.0,,246.6114157,-24.9699462,1038.41,2004.0,,,0.22,,7147.0
1770,K2-53,b,0,1,1,12.20772,0.098,2.6,,244.1419684,-20.4005984,138.018,665.0,,,2.29,,5263.0
1771,K2-54,b,0,1,1,9.7843,0.0671,1.15,,338.0541631,-17.5440636,174.955,,,,,,3798.0
1772,K2-55,b,0,1,1,2.849258,0.03486,3.82,,333.7518786,-17.2508002,159.522,,,,,,4456.0
1773,K2-57,b,0,1,1,9.0063,0.0746,2.1,,342.6918241,-14.0700007,264.213,,,,,,4434.0
1774,K2-58,b,0,1,3,7.05254,0.0692,2.68,,333.8218395,-14.049857,181.746,,,,,,5413.0
1775,K2-58,c,0,1,3,2.53726,0.035,1.62,,333.8218395,-14.049857,181.746,,,,,,5413.0
1776,K2-58,d,0,1,3,22.8827,0.1517,1.71,,333.8218395,-14.049857,181.746,,,,,,5413.0
1777,K2-59,b,0,1,2,20.6921,0.1354,2.41,,338.94255,-14.027727,311.313,,,,,,5055.0
1778,K2-59,c,0,1,2,11.2954,0.0905,2.3,,338.94255,-14.027727,311.313,,,,,,5055.0
1779,K2-6,b,0,1,1,30.94191,0.1898,2.5,,178.1921152,-1.1984418,316.819,615.0,,,,,5850.0
1780,K2-60,b,0,1,1,3.00265,0.045,7.656,135.39558,338.6062312,-13.7318044,491.87,1400.0,,1.7,0.99,10.0,5500.0
1781,K2-61,b,0,1,1,2.57302,0.0392,2.48,,339.6748444,-13.5600447,405.732,,,,,,6293.0
1782,K2-62,b,0,1,2,6.67202,0.0636,2.14,,334.3645089,-12.1874776,112.467,,,,,,4880.0
1783,K2-62,c,0,1,2,16.1966,0.1148,2.14,,334.3645089,-12.1874776,112.467,,,,,,4880.0
1784,K2-63,b,0,1,2,20.257,0.1627,3.22,,333.4267738,-12.0663429,517.534,,,,,,6771.0
1785,K2-63,c,0,1,2,25.4556,0.189,3.9,,333.4267738,-12.0663429,517.534,,,,,,6771.0
1786,K2-64,b,0,1,1,6.53044,0.0619,2.07,,332.4138478,-11.4286687,499.891,,,,,,5312.0
1787,K2-65,b,0,1,1,12.6475,0.1014,1.58,,333.2125206,-10.9261373,,,,,,,5213.0
1788,K2-66,b,0,1,1,5.06963,0.05983,2.49,21.3,331.5266563,-10.7115362,513.877,1372.0,,7.8,,,5887.0
1789,K2-68,b,0,1,1,8.05428,0.0708,1.58,,334.0195539,-10.5673649,168.652,,,,,,4746.0
1790,K2-69,b,0,1,1,7.06599,0.0591,2.32,,335.7596816,-10.4886817,180.697,,,,,,4127.0
1791,K2-7,b,0,1,1,28.67992,0.1814,2.67,,167.0937488,-1.065855,738.553,651.0,,,,,5772.0
1792,K2-70,b,0,1,1,13.97896,0.1112,2.89,,338.4759328,-10.0849917,232.964,,,,,,5622.0
1793,K2-71,b,0,1,1,6.98541,0.0559,2.15,,341.7248656,-9.8816109,153.192,,,,,,4006.0
1794,K2-72,b,0,1,4,5.577212,0.04,1.08,,334.6227504,-9.6120084,66.4321,,,,,,3360.47
1795,K2-72,c,0,1,4,15.189034,0.078,1.16,,334.6227504,-9.6120084,66.4321,,,,,,3360.47
1796,K2-72,d,0,1,4,7.760178,0.05,1.01,,334.6227504,-9.6120084,66.4321,,,,,,3360.47
1797,K2-72,e,0,1,4,24.158868,0.106,1.29,,334.6227504,-9.6120084,66.4321,,,,,,3360.47
1798,K2-73,b,0,1,1,7.49543,0.07619,2.45,,335.025662,-9.0560881,269.183,,,,,,5922.0
1799,K2-74,b,0,1,1,19.5666,0.1402,2.31,,339.9192984,-8.7145697,377.822,,,,,,6060.0
1800,K2-75,b,0,1,2,7.8142,0.081,2.67,,338.844896,-7.469895,561.93,,,,,,5995.0
1801,K2-75,c,0,1,2,18.311,0.1429,2.77,,338.844896,-7.469895,561.93,,,,,,5995.0
1802,K2-77,b,0,1,1,8.199796,,2.3,603.877,55.228521,12.572448,141.731,,-0.5,,2.5,0.85,4970.0
1803,K2-79,b,0,1,1,10.9947,0.0988,4.09,9.2,55.2559307,13.5191871,256.011,1022.0,,0.73,,6.5,5897.0
1804,K2-8,b,0,1,2,10.35239,0.0856,3.58,,169.7935178,-0.2844389,403.513,631.0,,,,,4870.0
1805,K2-8,c,0,1,2,5.06416,0.0532,2.41,,169.7935178,-0.2844389,403.513,801.0,,,,,4870.0
1806,K2-80,b,0,1,3,19.0918,0.135,2.01,,59.037486,13.5590288,200.802,,,,,,5441.0
1807,K2-80,c,0,1,3,5.605,0.0596,1.47,,59.037486,13.5590288,200.802,,,,,,5441.0
1808,K2-80,d,0,1,3,28.867253,,2.552,,59.037486,13.5590288,200.802,,,,,,5377.0
1809,K2-81,b,0,1,1,6.102325,0.059,1.97,,57.4854562,14.5020556,252.318,,,,,,4674.13
1810,K2-83,b,0,1,2,2.74697,0.03014,1.244,,59.9013782,15.5587994,125.529,,,,,,3910.0
1811,K2-83,c,0,1,2,9.99767,0.07131,1.483,,59.9013782,15.5587994,125.529,,,,,,3910.0
1812,K2-84,b,0,1,2,6.4215,0.0665,2.41,,55.8093566,16.6344396,284.876,,,,,,5652.0
1813,K2-84,c,0,1,2,27.86,0.1768,2.03,,55.8093566,16.6344396,284.876,,,,,,5652.0
1814,K2-85,b,0,1,1,0.684559,,1.2,,59.464829,18.4649505,97.2179,,,,,,4427.0
1815,K2-86,b,0,1,1,8.77683,0.077,1.96,,51.5531053,18.6355718,258.699,,,,,,5482.0
1816,K2-87,b,0,1,1,9.726618,0.094,7.6,,66.2363638,18.8273617,491.242,979.0,,,0.59,,5747.0
1817,K2-88,b,0,1,1,4.6122,0.0345,1.23,,54.7514566,19.1199667,110.561,,,,,,3537.0
1818,K2-89,b,0,1,1,1.096026,0.01462,0.615,,57.0671234,20.4594885,86.0386,,,,,,3691.0
1819,K2-9,b,0,1,1,18.4498,0.091,2.25,,176.263724,0.0054085,82.9631,314.0,-1.921,,9.88,1.0,3390.0
1820,K2-90,b,0,1,2,13.733314,0.096,2.6,,59.1527391,22.4724517,134.188,502.0,,,3.74,,4484.0
1821,K2-90,c,0,1,2,2.900706,0.035,1.3,,59.1527391,22.4724517,134.188,,,,,,4421.98
1822,K2-91,b,0,1,1,1.419549,0.0164,1.1,,63.2182348,24.2047218,62.5785,,,,,,3622.0
1823,K2-95,b,0,1,1,10.1346454,0.0525,3.31,,129.3625717,18.9766197,179.854,474.0,,,,,3566.0
1824,K2-97,b,0,1,1,8.406726,0.086,10.61,,127.762837,10.8475571,878.43,1499.0,,,0.279,,4717.0
1825,K2-98,b,0,1,1,10.136448,0.0974,5.2,,126.4882114,11.5110933,518.625,1092.0,,,0.633,,6172.0
1826,K2-99,b,0,1,1,18.251985,0.1597,11.73,,208.7737624,-5.4424943,519.229,1113.0,,,0.099,,6217.0
1827,KELT-1,b,0,1,1,1.217514,0.02466,12.442,8654.15,0.3620995,39.3837953,268.43,,0.542,24.7,,,6518.0
1828,KELT-10,b,0,1,1,4.1662739,0.0525,15.681,215.80657,284.5483823,-47.0033072,188.404,1377.0,0.217,0.308,0.889,4.5,5948.0
1829,KELT-11,b,0,1,1,4.7361,,15.132,54.34893,161.7069053,-9.3993646,99.1596,,,,0.104,,5375.0
1830,KELT-12,b,0,1,1,5.031623,0.06708,19.952,301.9385,267.6404906,36.5701761,368.03,1800.0,0.892,0.209,0.168,2.2,6279.0
1831,KELT-14,b,0,1,1,1.7100566,0.03005,19.537,408.09372,108.301409,-42.4097623,250.121,1970.0,,0.322,0.495,5.11,5720.0
1832,KELT-15,b,0,2,1,3.32944,,19.504,416.3573,117.4149764,-52.1204471,324.683,,,,0.51,,6003.0
1833,KELT-16,b,0,2,1,0.9689951,0.02044,15.861,874.0325,314.2685227,31.6610186,444.586,2453.0,0.401,1.2,0.679,3.1,6236.0
1834,KELT-17,b,0,1,1,3.0801716,0.04881,17.094,416.3573,125.617407,13.7353093,226.5,2087.0,0.876,0.46,0.518,0.65,7454.0
1835,KELT-18,b,0,2,1,2.8717518,0.0455,17.598,375.0394,216.5238248,59.4442735,321.376,2085.0,0.813,0.377,0.3111,1.9,6670.0
1836,KELT-19 A,b,0,2,1,4.6117093,0.0637,21.409,1293.5681,111.5095293,7.6157759,300.276,1935.0,0.978,0.744,0.376,,7500.0
1837,KELT-2 A,b,0,2,1,4.11379,,15.132,540.311,92.6640226,30.9571333,134.058,,,,0.3,,6327.0
1838,KELT-20,b,0,1,1,3.4741085,0.0542,19.515,1074.90106,294.6614126,31.2192001,136.426,2262.0,1.104,0.806,0.641,0.6,8720.0
1839,KELT-21,b,0,1,1,3.6127647,0.05224,17.777,1242.7153,304.8000322,32.5810446,470.878,2051.0,0.905,1.24,0.468,1.6,7598.0
1840,KELT-23 A,b,0,2,1,2.255251,0.03302,14.83,298.12454,232.1466406,66.3587097,126.261,1561.0,0.034,0.503,1.349,6.4,5899.0
1841,KELT-24,b,0,2,1,5.55149296,0.0665,12.711,1458.83239,161.9090273,71.655727,96.5173,1391.0,0.439,3.9,0.744,1.98,6426.0
1842,KELT-3,b,0,2,1,2.70339,,17.486,616.5902,148.6431193,40.3879446,210.252,,,,0.56,,6304.0
1843,KELT-4 A,b,0,3,1,2.9895932,0.04317,19.044,286.68266,157.06262,25.5731366,218.05,1823.0,0.535,0.228,0.411,4.44,6206.0
1844,KELT-6,b,0,1,2,7.8457,,14.572,165.2716,195.9818362,30.640145,240.726,,,,0.39,,6102.0
1845,KELT-6,c,0,1,2,1276.0,2.39,,1179.1493,195.9818362,30.640145,240.726,,,,0.44,4.9,6272.0
1846,KELT-7,b,0,1,1,2.73477,,17.934,441.7837,78.2955912,33.3179532,136.681,,,,0.42,,6768.0
1847,KELT-8,b,0,1,1,3.24406,,18.159,209.7678,283.3054489,24.1272483,197.572,,,,0.37,,5754.0
1848,KELT-9,b,0,2,1,1.4811235,0.03462,21.196,915.3504,307.8598998,39.9389161,204.455,4050.0,1.724,0.53,0.2702,0.3,10170.0
1849,KIC 10068024,b,0,1,1,2.073549,,,635.65681,288.8470423,47.0228607,721.105,,,,,,6118.4
1850,KIC 10525077,b,0,1,1,854.083,,5.5,,287.3781164,47.7711541,1461.15,,,,,,6091.0
1851,KIC 3526061,b,0,1,1,3552.0,5.14,,5768.58559,285.1863974,38.6111112,401.229,,1.215,,,,4829.0
1852,KIC 3558849,b,0,1,1,1322.3,,6.9,,294.9498381,38.6051867,1215.7,,,,,,6175.0
1853,KIC 5437945,b,0,1,2,440.7813,,6.4,,288.4749028,40.6512848,1274.01,,,,,,6340.0
1854,KIC 5479689,b,0,1,1,1.701531,,,158.9142,299.3254983,40.6381229,454.95,,,,,,5459.1
1855,KIC 7917485,b,0,1,1,840.0,,,3750.394,299.4346094,43.6326069,1382.89,,0.996,,,,7067.0
1856,KIC 8121913,b,0,1,1,3.294601,,,667.43965,298.9677981,43.909378,707.303,,,,,,5975.3
1857,KOI-7892,b,0,1,3,31.8099,,4.1,,282.3775397,44.694569,1072.3,,,,,,6474.0
1858,KOI-7892,c,0,1,3,75.2,,2.4,,282.3775397,44.694569,1072.3,,,,,,6474.0
1859,KIC 9663113,b,0,1,2,572.3847,,4.6,,297.0454037,46.3286653,1594.74,,,,,,6065.0
1860,KMT-2016-BLG-0212L,b,0,1,1,,2.2,,5700.0,268.43925,-29.0868889,6300.0,,,,,,
1861,KMT-2016-BLG-1105L,b,0,1,1,,2.44,,2.32,266.44725,-26.2663694,5080.0,,,,,,
1862,KMT-2016-BLG-1107L,b,0,1,1,,0.342,,1043.0,266.41775,-26.0318,6651.0,,,,,,
1863,KMT-2016-BLG-1397L,b,0,1,1,,5.1,,2200.0,272.664612,-24.8577385,6600.0,,,,,,
1864,KMT-2016-BLG-1820L,b,0,1,1,,1.08,,1450.0,268.76474,-29.5169201,6260.0,,,,,,
1865,KMT-2016-BLG-1836L,b,0,1,1,,3.5,,700.0,268.250333,-30.04075,7100.0,,,,,,
1866,KMT-2016-BLG-2142L,b,0,1,1,,0.83,,4923.0,268.112,-29.3845615,7010.0,,,,,,
1867,KMT-2016-BLG-2321L,b,0,1,1,,3.58,,301.93699,264.0579167,-25.5248806,3580.0,,,,,,
1868,KMT-2016-BLG-2364L,b,0,1,1,,2.63,,1250.0,265.715667,-27.4355611,6440.0,,,,,,
1869,KMT-2016-BLG-2397L,b,0,1,1,,3.64,,836.0,266.212542,-23.2013806,4880.0,,,,,,
1870,KMT-2016-BLG-2605L,b,0,1,1,,0.681,,245.0457,269.8230833,-26.982,6421.0,,,,,,
1871,KMT-2017-BLG-0165L,b,0,1,1,,3.45,,34.0,269.6496667,-28.1336694,4530.0,,,,,,
1872,KMT-2017-BLG-0428L,b,0,1,1,,1.81,,5.59,271.38525,-28.4902806,5400.0,,,,,,
1873,KMT-2017-BLG-0673L,b,0,1,1,,2.34,,1166.43025,264.7570417,-33.8080278,5080.0,,,,,,
1874,KMT-2017-BLG-1003L,b,0,1,1,,1.38,,5.19,265.4115,-24.3739389,7090.0,,,,,,
1875,KMT-2017-BLG-1038L,b,0,1,1,,1.8,,640.0,266.170917,-25.1430306,6000.0,,,,,,
1876,KMT-2017-BLG-1146L,b,0,1,1,,1.6,,230.0,269.105833,-33.1424694,6500.0,,,,,,
1877,KMT-2017-BLG-1194L,b,0,1,1,,1.78,,3.54,274.322125,-25.3239389,4240.0,,,,,,
1878,KMT-2017-BLG-2509L,b,0,1,1,,2.14,,664.26137,265.589875,-26.31715,7040.0,,,,,,
1879,KMT-2018-BLG-0029L,b,0,1,1,,4.27,,7.59,264.469458,-27.9847,3380.0,,,,,,
1880,KMT-2018-BLG-0030L,b,0,1,1,,4.39,,460.85119,264.5166667,-28.041625,6480.0,,,,,,
1881,KMT-2018-BLG-0087L,b,0,1,1,,0.87,,73.10053,264.327,-27.8320611,7020.0,,,,,,
1882,KMT-2018-BLG-0247L,b,0,1,1,,2.46,,670.61794,264.5600417,-27.1504111,6760.0,,,,,,
1883,KMT-2018-BLG-0748L,b,0,1,1,,0.62,,60.0,267.8745,-30.6463889,7300.0,,,,,,
1884,KMT-2018-BLG-0885L,b,0,1,1,,1.07,,9217.0238,268.9663333,-28.5133611,6890.0,,,,,,
1885,KMT-2018-BLG-1025L,b,0,1,1,,1.305,,6.059,269.8664167,-27.8780611,6705.0,,,,,,
1886,KMT-2018-BLG-1292L,b,0,1,1,,6.03,,1400.0,263.427583,-33.5206694,3460.0,,,,,,
1887,KMT-2018-BLG-1743L,b,0,1,1,,1.449,,77.86796,274.283375,-26.3596389,6483.0,,,,,,
1888,KMT-2018-BLG-1976L,b,0,1,1,,3.54,,705.57906,266.3546667,-35.7003306,5840.0,,,,,,
1889,KMT-2018-BLG-1988L,b,0,1,1,,3.09,,5.56,265.2825417,-35.5947,4150.0,,,,,,
1890,KMT-2018-BLG-1990L,b,0,1,1,,0.763,,111.0,268.435375,-22.1525389,967.0,,,,,,
1891,KMT-2018-BLG-1996L,b,0,1,1,,4.27,,346.43296,268.6785,-22.8204111,5910.0,,,,,,
1892,KMT-2018-BLG-2602L,b,0,1,1,,3.81,,365.50267,267.3970417,-21.9762,4310.0,,,,,,
1893,KMT-2019-BLG-0253L,b,0,1,1,,3.1,,9.2,267.8825833,-29.5654722,4900.0,,,,,,
1894,KMT-2019-BLG-0297L,b,0,1,1,,0.96,,6038.73973,270.0632917,-28.9652806,3090.0,,,,,,
1895,KMT-2019-BLG-0298L,b,0,1,1,,5.67,,575.26942,264.878,-27.6381389,6710.0,,,,,,
1896,KMT-2019-BLG-0335L,b,0,1,1,,1.64,,6674.39655,262.840125,-29.5906889,7710.0,,,,,,
1897,KMT-2019-BLG-0371L,b,0,1,1,,0.79,,2447.27873,268.3839167,-31.5550222,7010.0,,,,,,
1898,KMT-2019-BLG-0414L,b,0,1,1,,1.16,,1452.47582,268.8529167,-21.8955389,4410.0,,,,,,
1899,KMT-2019-BLG-0842L,b,0,1,1,,3.31,,10.28,268.458458,-29.8774389,3320.0,,,,,,
1900,KMT-2019-BLG-0953L,b,0,1,1,,1.1,,15.5,269.3385833,-28.6746389,7200.0,,,,,,
1901,KMT-2019-BLG-1042L,b,0,1,1,,1.7,,60.3874,270.5440417,-27.5806694,6600.0,,,,,,
1902,KMT-2019-BLG-1216L,b,0,1,1,,2.44,,29.87587,268.480625,-35.1366389,2740.0,,,,,,
1903,KMT-2019-BLG-1339L,b,0,1,1,,2.15,,397.0,265.743417,-25.5739167,6120.0,,,,,,
1904,KMT-2019-BLG-1367L,b,0,1,1,,1.7,,4.08,272.4713333,-29.7622111,4670.0,,,,,,
1905,KMT-2019-BLG-1552L,b,0,1,1,,2.6,,1287.20505,269.5957917,-27.5669389,4600.0,,,,,,
1906,KMT-2019-BLG-1715L,b,0,1,1,,3.32,,813.64072,270.3717083,-28.7771389,3860.0,,,,,,
1907,KMT-2019-BLG-1806L,b,0,1,1,,3.02,,4.67,270.5375417,-29.4148889,6640.0,,,,,,
1908,KMT-2019-BLG-1953L,b,0,1,1,,,,200.0,269.11625,-28.2011111,7040.0,,,,,,
1909,KMT-2019-BLG-2783L,b,0,1,1,,1.85,,368.68095,269.2919167,-33.7885194,5910.0,,,,,,
1910,KMT-2019-BLG-2974L,b,0,1,1,,2.0,,88.99195,267.8520833,-29.4231611,6100.0,,,,,,
1911,KMT-2020-BLG-0414L,b,0,1,2,,1.26,,0.96,271.915,-28.4852222,800.0,,,,,,
1912,KMT-2020-BLG-0414L,c,0,1,2,,0.12,,4894.55747,271.915,-28.4852222,800.0,,,,,,
1913,KMT-2021-BLG-0119L,b,0,1,1,,2.92,,1754.41281,274.0005417,-29.7438889,3130.0,,,,,,
1914,KMT-2021-BLG-0171L,b,0,1,1,,3.5,,11.2,269.2416667,-30.0930556,4600.0,,,,,,5200.0
1915,KMT-2021-BLG-0192L,b,0,1,1,,1.62,,34.96112,268.1049583,-30.0086889,5120.0,,,,,,
1916,KMT-2021-BLG-0240L,b,0,1,1,,2.8,,66.74397,267.5772917,-30.0049694,6600.0,,,,,,
1917,KMT-2021-BLG-0320L,b,0,1,1,,1.54,,31.78284,269.388125,-30.5039389,6950.0,,,,,,
1918,KMT-2021-BLG-0322L,b,0,2,1,,,,2034.1018,270.9116667,-29.6043889,6600.0,,,,,,
1919,KMT-2021-BLG-0712L,b,0,1,1,,2.22,,38.19,269.2856667,-31.1844694,3090.0,,,,,,
1920,KMT-2021-BLG-0748L,b,0,1,1,,2.43,,143.02278,272.4213333,-25.7465806,6090.0,,,,,,
1921,KMT-2021-BLG-0909L,b,0,1,1,,1.75,,400.46379,265.6202083,-27.6391389,6480.0,,,,,,
1922,KMT-2021-BLG-0912L,b,0,1,1,,3.14,,2.81,269.8211667,-31.9976389,5560.0,,,,,,
1923,KMT-2021-BLG-1077L,b,0,1,2,,1.26,,69.92225,266.489125,-33.8428111,8240.0,,,,,,
1924,KMT-2021-BLG-1077L,c,0,1,2,,0.93,,79.4571,266.489125,-33.8428111,8240.0,,,,,,
1925,KMT-2021-BLG-1105L,b,0,1,1,,3.54,,413.17693,265.73225,-25.5089111,4540.0,,,,,,
1926,KMT-2021-BLG-1150L,b,0,1,1,,4.5,,279.689,268.790125,-31.3133306,3800.0,,,,,,
1927,KMT-2021-BLG-1253L,b,0,1,1,,1.52,,19.05,267.6172083,-29.2792806,6640.0,,,,,,
1928,KMT-2021-BLG-1303L,b,0,1,1,,2.89,,120.77479,271.863875,-29.2815806,6280.0,,,,,,
1929,KMT-2021-BLG-1372L,b,0,1,1,,2.37,,61.27,264.4885417,-28.1483889,5970.0,,,,,,
1930,KMT-2021-BLG-1391L,b,0,1,1,,2.29,,4.55,270.6835833,-28.0605,5720.0,,,,,,
1931,KMT-2021-BLG-1547L,b,0,1,1,,4.5,,467.20776,272.3995833,-29.0839389,5070.0,,,,,,
1932,KMT-2021-BLG-1554L,b,0,1,1,,0.72,,38.13941,267.8034167,-31.8643611,7680.0,,,,,,
1933,KMT-2021-BLG-1689L,b,0,1,1,,2.5,,46.0,269.5791667,-30.1452778,7200.0,,,,,,4570.0
1934,KMT-2021-BLG-1770L,b,0,1,1,,0.9,,6674.39655,270.4399583,-27.4186694,6920.0,,,,,,
1935,KMT-2021-BLG-1898L,b,0,1,1,,1.9,,232.01474,265.691875,-27.3758389,6900.0,,,,,,
1936,KMT-2021-BLG-2010L,b,0,1,1,,1.79,,340.0764,268.0085,-32.26975,7090.0,,,,,,
1937,KMT-2021-BLG-2294L,b,0,1,1,,1.15,,22.24799,270.0624167,-28.6124389,6800.0,,,,,,
1938,KMT-2021-BLG-2478L,b,0,1,1,,1.85,,286.04557,269.3092083,-29.1019694,2970.0,,,,,,
1939,KMT-2022-BLG-0371L,b,0,1,1,,3.02,,82.63539,265.3619167,-34.6986694,7140.0,,,,,,
1940,KMT-2022-BLG-0440L,b,0,1,1,,1.9,,15.4,269.5835833,-32.2953056,3500.0,,,,,,
1941,KMT-2022-BLG-1013L,b,0,1,1,,1.38,,98.52681,264.70925,-28.3556694,7710.0,,,,,,
1942,KMT-2023-BLG-0416L,b,0,1,1,,2.96,,13.03096,266.3240417,-25.0794889,5900.0,,,,,,
1943,KMT-2023-BLG-0469L,b,0,1,1,,2.31,,39.41072,269.4067917,-28.7150611,7070.0,,,,,,
1944,KMT-2023-BLG-0735L,b,0,1,1,,2.96,,38.77507,267.5759583,-29.2029194,6390.0,,,,,,
1945,KMT-2023-BLG-1431L,b,0,1,1,,3.2,,13.6,271.1835417,-29.7439194,6800.0,,,,,,
1946,KMT-2023-BLG-1454L,b,0,1,1,,1.18,,200.2319,267.6200833,-29.62275,7220.0,,,,,,
1947,KMT-2023-BLG-1642L,b,0,1,1,,1.41,,343.25468,261.366,-29.0584694,6980.0,,,,,,
1948,KMT-2023-BLG-1866L,b,0,1,1,,2.63,,2.63,273.48225,-28.4473889,6210.0,,,,,,
1949,KOI-12,b,0,1,2,17.855182,0.154,13.787,349.613,297.4537402,41.0110188,399.398,,,,0.8,,
1950,KOI-1257,b,0,2,1,86.647661,0.382,10.54,460.83,291.2250888,44.9272918,,511.0,,2.1,0.99,9.3,5520.0
1951,KOI-13,b,0,3,1,1.763588,0.03641,16.948,2949.4624,286.9713876,46.8682463,519.096,2550.0,,3.6,,,7650.0
1952,KOI-142,b,0,1,3,10.91647,,3.438,9.5,291.1481028,40.669413,376.863,,,1.29,,,5466.0
1953,KOI-142,c,0,1,3,22.26492,,,214.1,291.1481028,40.669413,376.863,,,,,,5466.0
1954,KOI-1599,c,0,1,2,20.4415,0.14728,1.9,4.6,298.3738383,40.6184483,1131.64,,,,,,
1955,KOI-1599,b,0,1,2,13.6088,0.112293,1.9,9.0,298.3738383,40.6184483,1131.64,,,,,,
1956,KOI-1783,b,0,1,2,134.4628,,8.86,71.0,289.3414629,46.988155,865.73,,,0.56,,,5922.0
1957,KOI-1783,c,0,1,2,284.215,,5.44,15.0,289.3414629,46.988155,865.73,,,0.51,,,5922.0
1958,Kepler-324,d,0,1,4,34.169,,1.13,2.23,286.4714473,49.6490933,501.574,475.0,,9.95,,,5233.0
1959,Kepler-968,d,0,1,3,7.685,,2.58,11.02,285.6025889,50.1120401,290.324,613.0,,4.5,,,4413.0
1960,KOI-217,b,0,1,1,3.90512,0.0477,12.442,,294.8654667,46.2858128,914.699,,,,,,5545.0
1961,KOI-2513,b,0,1,1,19.00547,0.5,2.802,7310.05336,293.6688776,46.3792321,1369.87,,,2000.0,0.8,8.0,5900.0
1962,KOI-3503,b,0,1,2,21.185,,1.19,9.2,293.1507654,41.7291532,887.064,785.0,,10.0,,,6001.0
1963,KOI-3503,c,0,1,2,31.828,,1.21,10.36,293.1507654,41.7291532,887.064,686.0,,10.0,,,6001.0
1964,KOI-351,b,0,1,8,7.008151,0.074,1.31,,284.4334642,49.3051239,848.254,,,,,,6080.0
1965,KOI-351,c,0,1,8,8.719375,0.089,1.19,,284.4334642,49.3051239,848.254,,,,,,6080.0
1966,KOI-351,d,0,1,8,59.73667,0.32,2.87,,284.4334642,49.3051239,848.254,,,,,,6080.0
1967,KOI-351,e,0,1,8,91.93913,0.42,2.66,,284.4334642,49.3051239,848.254,,,,,,6080.0
1968,KOI-351,f,0,1,8,124.9144,0.48,2.88,,284.4334642,49.3051239,848.254,,,,,,6080.0
1969,KOI-351,g,0,1,8,210.60697,0.71,8.1,,284.4334642,49.3051239,848.254,,,,,,6080.0
1970,KOI-351,h,0,1,8,331.60059,1.01,11.3,,284.4334642,49.3051239,848.254,,,,,,6080.0
1971,KOI-3680,b,0,1,1,141.241671,0.534,11.097,613.4119,293.2815266,45.3096572,921.986,347.0,,2.46,1.88,3.2,5830.0
1972,KOI-4777,b,0,1,1,0.412,0.008,0.51,99.2,287.2621474,42.0322257,172.245,1180.0,,,8.9,4.0,3515.0
1973,KOI-4978,b,0,1,1,0.941967,,0.7,,286.5907635,38.5582993,936.341,,,,1.1,,5050.28
1974,KOI-7368,b,0,1,1,6.8430344,,2.22,,293.9476365,48.0652589,264.995,,,,1.87,0.036,5241.0
1975,KOI-7913 A,b,0,2,1,24.278553,,2.34,,286.7485252,45.1587234,271.277,,,,2.2,0.036,4324.0
1976,KOI-94,b,0,2,4,3.743208,0.05119,1.71,10.5,297.3330716,41.8911186,477.052,1486.0,0.479,10.1,,3.16,6182.0
1977,KOI-94,c,0,2,4,10.423648,0.1013,4.32,15.6,297.3330716,41.8911186,477.052,1012.0,0.479,0.91,,3.16,6182.0
1978,KOI-94,d,0,2,4,22.342989,0.1684,11.27,106.0,297.3330716,41.8911186,477.052,806.0,0.479,0.363,,3.16,6182.0
1979,KOI-94,e,0,2,4,54.32031,0.3046,6.56,35.0,297.3330716,41.8911186,477.052,584.0,0.479,0.6,,3.16,6182.0
1980,KOI-984,b,0,1,2,4.2881785,0.0504,4.3,,291.0489438,36.8400772,252.667,1022.0,,,2.3967,,5295.0
1981,KOI-984,c,0,1,2,21.512,0.1467,,209.8,291.0489438,36.8400772,252.667,597.0,,,2.3967,,5295.0
1982,KPS-1,b,0,1,1,1.706291,0.0269,11.545,346.4347,165.167198,64.9638452,262.706,1459.0,,1.31,1.68,,5165.0
1983,Kapteyn,c,0,1,1,121.54,0.311,,7.0,77.9586613,-45.0430198,3.93305,,,,,,3550.0
1984,Kepler-10,b,0,1,3,0.8374907,0.01685,1.47,3.26,285.679298,50.2414842,185.506,2188.0,,5.57,,10.6,5708.0
1985,Kepler-10,c,0,1,3,45.294301,0.241,2.355,11.4,285.679298,50.2414842,185.506,578.0,,4.78,,10.6,5708.0
